设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,yoo.gtimg.com,121.51.64.74,腾讯,129.385M,76.861M,206.246M,0.129385G,0.076861G,0.206246G
,vv6.video.qq.com,182.254.21.36,腾讯,97.255M,107.409M,204.664M,0.097255G,0.107409G,0.20466399999999998G
,www.qq.com,182.254.21.26,腾讯,24.021M,179.724M,203.744M,0.024021G,0.179724G,0.203744G
,v3.szjal.cn,182.254.49.63,腾讯,145.296M,56.531M,201.827M,0.14529599999999998G,0.056531G,0.201827G
,182.254.52.215,182.254.52.215,腾讯,127.673M,72.582M,200.255M,0.127673G,0.072582G,0.200255G
,182.254.52.163,182.254.52.163,腾讯,124.374M,73.208M,197.583M,0.124374G,0.073208G,0.197583G
,182.254.52.214,182.254.52.214,腾讯,132.377M,64.749M,197.126M,0.13237700000000002G,0.064749G,0.197126G
,pm.myapp.com,182.254.59.187,腾讯,131.006M,65.331M,196.337M,0.131006G,0.065331G,0.19633699999999998G
,sh-ctfs.ftn.qq.com,121.51.90.198,腾讯,119.724M,76.223M,195.947M,0.119724G,0.076223G,0.195947G
,vmmp.qpic.cn,182.254.59.152,腾讯,125.443M,67.009M,192.452M,0.125443G,0.067009G,0.192452G
,mmcard.qpic.cn,182.254.90.87,腾讯,136.538M,55.058M,191.596M,0.13653800000000002G,0.055058G,0.19159600000000002G
,wspeed.qq.com,182.254.56.83,腾讯,20.845M,170.37M,191.215M,0.020845G,0.17037G,0.191215G
,video-tx-drcn.dbankcdn.cn,182.254.48.228,腾讯,127.434M,62.404M,189.838M,0.127434G,0.062404G,0.189838G
,182.254.52.210,182.254.52.210,腾讯,116.71M,72.282M,188.992M,0.11671G,0.072282G,0.188992G
,182.254.60.33,182.254.60.33,腾讯,31.154M,156.691M,187.845M,0.031154G,0.156691G,0.187845G
,182.254.48.143,182.254.48.143,腾讯,45.574M,142.222M,187.796M,0.045573999999999996G,0.14222200000000002G,0.187796G
,182.254.60.26,182.254.60.26,腾讯,46.666M,138.837M,185.503M,0.046666G,0.138837G,0.18550299999999997G
,182.254.52.249,182.254.52.249,腾讯,107.098M,78.309M,185.407M,0.107098G,0.078309G,0.18540700000000002G
,121.51.52.94,121.51.52.94,腾讯,164.391M,18.908M,183.299M,0.16439099999999998G,0.018908G,0.18329900000000002G
,cfg.imtt.qq.com,182.254.86.159,腾讯,44.256M,138.709M,182.964M,0.044256000000000004G,0.138709G,0.182964G
,omsproductionimg.yangkeduo.com,182.254.60.41,腾讯,106.497M,75.609M,182.106M,0.106497G,0.075609G,0.182106G
,ep.skysrt.com,111.230.126.150,湖北省,61.826M,119.945M,181.771M,0.061826G,0.119945G,0.181771G
,szzjwxsns.video.qq.com,121.51.75.194,腾讯,137.648M,43.582M,181.229M,0.137648G,0.043582G,0.181229G
,182.254.48.186,182.254.48.186,腾讯,60.601M,120.49M,181.092M,0.060601G,0.12049G,0.181092G
,mv6.music.tc.qq.com,182.254.52.164,腾讯,102.833M,76.737M,179.57M,0.102833G,0.076737G,0.17956999999999998G
,pcvideochuangcdn.titan.mgtv.com,182.254.91.55,腾讯,110.488M,68.922M,179.41M,0.110488G,0.068922G,0.17941G
,182.254.52.107,182.254.52.107,腾讯,27.459M,149.966M,177.425M,0.027459G,0.14996600000000002G,0.177425G
,182.254.48.183,182.254.48.183,腾讯,88.719M,84.444M,173.162M,0.08871899999999999G,0.084444G,0.173162G
,182.254.48.90,182.254.48.90,腾讯,61.2M,111.199M,172.398M,0.061200000000000004G,0.11119899999999999G,0.172398G
,182.254.48.87,182.254.48.87,腾讯,28.103M,144.189M,172.292M,0.028103000000000003G,0.14418899999999998G,0.172292G
,182.254.53.188,182.254.53.188,腾讯,98.62M,72.952M,171.572M,0.09862G,0.072952G,0.171572G
,tx-game.pull.yximgs.com,121.51.32.74,腾讯,108.222M,62.693M,170.915M,0.108222G,0.062693G,0.17091499999999998G
,182.254.60.16,182.254.60.16,腾讯,117.871M,51.263M,169.134M,0.11787099999999999G,0.051262999999999996G,0.16913399999999998G
,182.254.48.144,182.254.48.144,腾讯,35.631M,133.368M,168.998M,0.035631G,0.133368G,0.16899799999999998G
,dlied6.qq.com,182.254.59.187,腾讯,96.955M,71.509M,168.464M,0.096955G,0.071509G,0.168464G
,182.254.48.178,182.254.48.178,腾讯,16.351M,152.031M,168.383M,0.016350999999999997G,0.152031G,0.168383G
,pic640.weishi.qq.com,182.254.76.18,腾讯,105.585M,62.553M,168.139M,0.105585G,0.062553G,0.168139G
,182.254.48.224,182.254.48.224,腾讯,31.539M,136.59M,168.129M,0.031539000000000005G,0.13659000000000002G,0.168129G
,cctvtxyh5ca.liveplay.myqcloud.com,121.51.128.142,腾讯,67.818M,99.07M,166.888M,0.067818G,0.09906999999999999G,0.166888G
,1258712167.vod2.myqcloud.com,182.254.49.63,腾讯,114.052M,51.888M,165.94M,0.114052G,0.051888G,0.16594G
,m-t.dazzle90.com,182.254.49.63,腾讯,115.777M,49.44M,165.217M,0.115777G,0.04944G,0.165217G
,jmvideo2.jumei.com,182.254.52.171,腾讯,116.441M,48.04M,164.481M,0.116441G,0.04804G,0.164481G
,3954.liveplay.myqcloud.com,121.51.112.47,腾讯,60.341M,102.763M,163.104M,0.060341G,0.10276300000000001G,0.16310400000000003G
,v.gdt.qq.com,182.254.56.94,腾讯,30.281M,132.096M,162.378M,0.030281G,0.132096G,0.162378G
,182.254.52.203,182.254.52.203,腾讯,120.414M,41.541M,161.955M,0.12041400000000001G,0.041540999999999995G,0.16195500000000002G
,miaopai.video.weibocdn.com,121.51.68.211,腾讯,91.876M,68.163M,160.04M,0.091876G,0.068163G,0.16004G
,dldir3.qq.com,182.254.52.87,腾讯,96.553M,63.364M,159.917M,0.096553G,0.063364G,0.159917G
,182.254.52.111,182.254.52.111,腾讯,38.885M,120.558M,159.443M,0.038884999999999996G,0.12055800000000001G,0.159443G
,im-emoticon.pinduoduo.com,182.254.60.41,腾讯,109.843M,49.404M,159.247M,0.10984300000000001G,0.049404G,0.15924700000000003G
,211.159.235.100,211.159.235.100,腾讯,15.842M,142.832M,158.673M,0.015842000000000002G,0.142832G,0.158673G
,game.gtimg.cn,121.51.32.62,腾讯,98.567M,58.416M,156.983M,0.09856699999999999G,0.058415999999999996G,0.156983G
,182.254.48.112,182.254.48.112,腾讯,29.657M,126.434M,156.091M,0.029657G,0.126434G,0.156091G
,182.254.48.11,182.254.48.11,腾讯,96.641M,59.431M,156.072M,0.096641G,0.059431G,0.15607200000000002G
,adxapi.jumei.com,49.233.240.10,北京市教育信息网,12.929M,142.99M,155.919M,0.012929G,0.14299G,0.155919G
,img.zuoyebang.cc,182.254.59.158,腾讯,64.898M,90.633M,155.531M,0.064898G,0.09063299999999999G,0.155531G
,182.254.48.184,182.254.48.184,腾讯,34.977M,119.9M,154.876M,0.034976999999999994G,0.1199G,0.154876G
,182.254.52.87,182.254.52.87,腾讯,105.812M,48.909M,154.721M,0.105812G,0.048909G,0.154721G
,182.254.60.99,182.254.60.99,腾讯,54.264M,97.877M,152.141M,0.054264G,0.09787699999999999G,0.152141G
,109.244.23.123,109.244.23.123,其他国家,19.608M,131.419M,151.027M,0.019608G,0.131419G,0.151027G
,tx-play.uqulive.com,121.51.68.93,腾讯,63.248M,86.895M,150.143M,0.063248G,0.086895G,0.150143G
,p2pchunk-tx.douyucdn.cn:80,121.51.248.16,腾讯,89.067M,60.271M,149.338M,0.089067G,0.060271G,0.149338G
,182.254.52.109,182.254.52.109,腾讯,57.496M,90.799M,148.295M,0.057496000000000005G,0.090799G,0.14829499999999998G
,y.gtimg.cn,121.51.64.98,腾讯,74.801M,72.027M,146.827M,0.074801G,0.07202700000000001G,0.14682699999999999G
,182.254.52.112,182.254.52.112,腾讯,33.261M,111.722M,144.983M,0.033261000000000006G,0.11172199999999999G,0.144983G
,182.254.90.156,182.254.90.156,腾讯,110.016M,34.497M,144.513M,0.110016G,0.034497G,0.144513G
,1252524126.vod2.myqcloud.com,182.254.76.29,腾讯,99.895M,43.392M,143.287M,0.099895G,0.043392G,0.143287G
,mqq-plugin.qq.com,182.254.49.85,腾讯,93.196M,49.412M,142.608M,0.093196G,0.049412G,0.142608G
,182.254.90.155,182.254.90.155,腾讯,92.667M,49.336M,142.004M,0.092667G,0.049336G,0.142004G
,109.244.23.87,109.244.23.87,其他国家,11.967M,130.008M,141.975M,0.011967G,0.130008G,0.141975G
,182.254.48.94,182.254.48.94,腾讯,42.71M,98.254M,140.964M,0.04271G,0.09825400000000001G,0.140964G
,szsupport.weixin.qq.com,121.51.24.111,腾讯,13.671M,126.781M,140.452M,0.013670999999999999G,0.126781G,0.140452G
,182.254.48.89,182.254.48.89,腾讯,26.256M,112.811M,139.066M,0.026256G,0.11281100000000001G,0.139066G
,121.51.118.37,121.51.118.37,腾讯,61.98M,77.062M,139.042M,0.06197999999999999G,0.07706199999999999G,0.139042G
,dlied5sdk.myapp.com,182.254.52.203,腾讯,92.344M,46.513M,138.857M,0.092344G,0.046513G,0.138857G
,auto-dd.myapp.com,182.254.59.187,腾讯,93.029M,45.409M,138.438M,0.093029G,0.045409G,0.13843799999999998G
,mmapp.qpic.cn,182.254.52.186,腾讯,80.319M,57.978M,138.296M,0.080319G,0.057978G,0.138296G
,info.3g.qq.com,182.254.86.159,腾讯,69.939M,68.16M,138.099M,0.06993899999999999G,0.06816G,0.138099G
,fga0.market.xiaomi.com,182.254.90.122,腾讯,82.349M,55.478M,137.826M,0.082349G,0.055478G,0.137826G
,tccpicc.cdn.51touxiang.com,182.254.52.171,腾讯,98.971M,38.287M,137.257M,0.098971G,0.038287G,0.13725700000000002G
,182.254.48.93,182.254.48.93,腾讯,37.961M,98.983M,136.944M,0.037961G,0.098983G,0.13694399999999998G
,ossweb-img.qq.com,121.51.68.119,腾讯,87.537M,48.074M,135.61M,0.087537G,0.048074G,0.13561G
,182.254.52.231,182.254.52.231,腾讯,131.062M,4.367M,135.429M,0.131062G,0.004367G,0.135429G
,res.imtt.qq.com,182.254.48.38,腾讯,56.761M,74.742M,131.504M,0.056761000000000006G,0.074742G,0.13150399999999998G
,182.254.60.19,182.254.60.19,腾讯,77.18M,53.684M,130.864M,0.07718000000000001G,0.053683999999999996G,0.130864G
,vmind.qqvideo.tc.qq.com,182.254.61.234,腾讯,107.833M,22.22M,130.053M,0.107833G,0.02222G,0.130053G
,app.vipstatic.com,182.254.59.146,腾讯,83.269M,46.062M,129.332M,0.08326900000000001G,0.046062G,0.129332G
,flv265-3954.liveplay.myqcloud.com,121.51.112.47,腾讯,12.248M,117.035M,129.283M,0.012247999999999998G,0.117035G,0.12928299999999998G
,182.254.60.11,182.254.60.11,腾讯,74.608M,54.425M,129.033M,0.07460800000000001G,0.054424999999999994G,0.12903299999999998G
,tx-safety-video.acfun.cn,182.254.48.105,腾讯,102.883M,25.354M,128.236M,0.102883G,0.025353999999999998G,0.128236G
,d.pasttcl.huan.tv,182.254.59.156,腾讯,20.545M,106.675M,127.219M,0.020545G,0.10667499999999999G,0.127219G
,meta.pinduoduo.com,49.234.162.37,北京市教育信息网,6.704M,120.485M,127.189M,0.006704G,0.120485G,0.127189G
,apd-vlive.apdcdn.tc.qq.com,182.254.53.185,腾讯,85.65M,40.609M,126.259M,0.08565G,0.040609G,0.126259G
,182.254.52.104,182.254.52.104,腾讯,48.413M,77.198M,125.612M,0.048413G,0.07719799999999999G,0.125612G
,ci.xiaohongshu.com,121.51.224.89,腾讯,70.68M,54.503M,125.183M,0.07068G,0.054503G,0.12518300000000002G
,182.254.48.92,182.254.48.92,腾讯,51.055M,73.896M,124.951M,0.051055G,0.073896G,0.12495099999999999G
,images.pinduoduo.com,121.51.68.123,腾讯,47.104M,77.606M,124.71M,0.047104G,0.077606G,0.12470999999999999G
,mat1.gtimg.com,182.254.48.38,腾讯,83.329M,36.848M,120.178M,0.083329G,0.036848G,0.120178G
,s2.jctcmd.com,182.254.52.97,腾讯,75.864M,43.604M,119.468M,0.075864G,0.043604G,0.119468G
,cms.gtimg.com,182.254.60.48,腾讯,67.433M,51.854M,119.286M,0.067433G,0.051854G,0.119286G
,md-t.dazzle90.com,182.254.52.170,腾讯,86.02M,32.967M,118.987M,0.08602G,0.032966999999999996G,0.118987G
,sucai.mobile.dl.meitu.com,182.254.52.222,腾讯,86.68M,32.109M,118.789M,0.08668000000000001G,0.032109G,0.118789G
,182.254.60.34,182.254.60.34,腾讯,48.411M,69.552M,117.963M,0.048411G,0.069552G,0.117963G
,wup.imtt.qq.com:8080,182.254.22.158,腾讯,28.005M,89.801M,117.807M,0.028005G,0.089801G,0.11780700000000001G
,hkextshort.weixin.qq.com,121.51.140.152,腾讯,22.776M,94.9M,117.676M,0.022776G,0.09490000000000001G,0.117676G
,pcvideotxott.titan.mgtv.com,182.254.90.167,腾讯,76.942M,40.067M,117.009M,0.076942G,0.040067G,0.117009G
,file.pinduoduo.com,111.231.95.18,湖北省,549.443K,116.251M,116.8M,0.000549443G,0.11625100000000001G,0.1168G
,showv6.gtimg.cn,182.254.52.87,腾讯,77.158M,38.38M,115.538M,0.077158G,0.038380000000000004G,0.115538G
,182.254.52.106,182.254.52.106,腾讯,35.106M,79.302M,114.408M,0.035106G,0.07930200000000001G,0.114408G
,103.57.15.219:80,129.28.208.106,美国,4.922M,108.99M,113.913M,0.004921999999999999G,0.10898999999999999G,0.113913G
,f7.video.weibocdn.com,121.51.68.107,腾讯,65.174M,47.76M,112.934M,0.06517400000000001G,0.04776G,0.11293399999999999G
,sample-receive.master.qq.com,182.254.51.125,腾讯,119.49K,112.716M,112.836M,0.00011949G,0.112716G,0.11283599999999999G
,pz0.3dn.ie.sogou.com,182.254.59.158,腾讯,105.234M,7.578M,112.812M,0.105234G,0.0075780000000000005G,0.112812G
,a.gdt.qq.com,182.254.21.52,腾讯,16.798M,93.552M,110.35M,0.016797999999999997G,0.09355200000000001G,0.11034999999999999G
,wx2.sinaimg.cn,182.254.61.176,腾讯,66.485M,43.858M,110.343M,0.066485G,0.043857999999999994G,0.110343G
,182.254.48.91,182.254.48.91,腾讯,29.714M,79.881M,109.596M,0.029713999999999997G,0.079881G,0.109596G
,wx4.sinaimg.cn,182.254.61.158,腾讯,66.429M,43.043M,109.472M,0.066429G,0.043043G,0.109472G
,wx3.sinaimg.cn,121.51.224.86,腾讯,66.65M,40.98M,107.631M,0.06665G,0.040979999999999996G,0.107631G
,182.254.60.40,182.254.60.40,腾讯,41.181M,66.442M,107.623M,0.041180999999999995G,0.06644199999999999G,0.10762300000000001G
,182.254.52.234,182.254.52.234,腾讯,45.577M,61.789M,107.366M,0.045577G,0.061789000000000004G,0.107366G
,182.254.60.15,182.254.60.15,腾讯,28.302M,78.968M,107.27M,0.028302G,0.07896800000000001G,0.10726999999999999G
,dialer.cdn.cootekservice.com,182.254.59.158,腾讯,82.217M,24.985M,107.203M,0.082217G,0.024985G,0.107203G
,flv265-3954-dl.liveplay.myqcloud.com,121.51.112.90,腾讯,12.058M,94.788M,106.846M,0.012058G,0.094788G,0.10684600000000001G
,1251883823.vod2.myqcloud.com,182.254.48.105,腾讯,69.17M,37.097M,106.267M,0.06917G,0.037097G,0.106267G
,182.254.91.55,182.254.91.55,腾讯,54.394M,51.817M,106.212M,0.054394G,0.051817G,0.106212G
,hb.kg.qq.com,182.254.51.27,腾讯,18.894M,86.555M,105.449M,0.018893999999999998G,0.086555G,0.105449G
,182.254.56.94,182.254.56.94,腾讯,8.098M,97.273M,105.372M,0.008098000000000001G,0.097273G,0.105372G
,support.weixin.qq.com,121.51.118.79,腾讯,10.154M,94.969M,105.123M,0.010154G,0.094969G,0.10512300000000001G
,182.254.90.212,182.254.90.212,腾讯,3.26M,100.897M,104.157M,0.00326G,0.100897G,0.104157G
,pcvideochuangott.titan.mgtv.com,182.254.90.155,腾讯,65.672M,38.484M,104.155M,0.065672G,0.038484000000000004G,0.104155G
,rpt.gdt.qq.com,121.51.139.210,腾讯,60.025M,43.727M,103.752M,0.060025G,0.043726999999999995G,0.103752G
,p1463053773.apollo.cdn.myqcloud.com,121.51.224.63,腾讯,57.95M,45.77M,103.72M,0.05795G,0.045770000000000005G,0.10371999999999999G
,pz1.3dn.ie.sogou.com,182.254.53.92,腾讯,90.686M,12.907M,103.592M,0.090686G,0.012907G,0.103592G
,netsp.master.qq.com,182.254.51.126,腾讯,0,102.921M,102.921M,0G,0.10292100000000001G,0.10292100000000001G
,182.254.48.86,182.254.48.86,腾讯,34.242M,68.663M,102.905M,0.034241999999999995G,0.068663G,0.102905G
,imtt.81rx.com,182.254.53.92,腾讯,66.107M,35.576M,101.683M,0.066107G,0.035576G,0.10168300000000001G
,cdn.extp.org,182.254.48.228,腾讯,68.415M,33.028M,101.442M,0.068415G,0.033028G,0.10144199999999999G
,gxh.vip.qq.com,182.254.48.233,腾讯,46.035M,54.894M,100.93M,0.046035G,0.054894G,0.10093G
,182.254.49.103,182.254.49.103,腾讯,19.154M,78.899M,98.053M,0.019154G,0.078899G,0.098053G
,htq.tc.qq.com,182.254.52.160,腾讯,96.706M,39.453K,96.745M,0.096706G,3.9453e-05G,0.096745G
,vweixinf.tc.qq.com,121.51.75.209,腾讯,53.606M,42.8M,96.406M,0.053606G,0.0428G,0.096406G
,qqadapt.qpic.cn,182.254.48.229,腾讯,55.44M,40.812M,96.253M,0.055439999999999996G,0.040812G,0.096253G
,cdn.mileweb.cs.steampowered.com.8686c.com,45.116.209.15,其他国家,93.582M,1.808M,95.39M,0.093582G,0.0018080000000000001G,0.09539G
,182.254.60.104,182.254.60.104,腾讯,42.14M,53.127M,95.267M,0.042140000000000004G,0.053127G,0.09526699999999999G
,putv.qpic.cn,182.254.52.230,腾讯,56.414M,38.167M,94.581M,0.056414G,0.038167G,0.094581G
,sochy.tcdn.qq.com,182.254.53.190,腾讯,69.255M,25.207M,94.463M,0.069255G,0.025207G,0.09446299999999999G
,wx1.sinaimg.cn,182.254.52.222,腾讯,57.951M,35.714M,93.665M,0.057951G,0.035713999999999996G,0.09366500000000001G
,182.254.52.105,182.254.52.105,腾讯,22.033M,71.446M,93.478M,0.022033G,0.071446G,0.09347799999999999G
,bg1.market.xiaomi.com,182.254.52.248,腾讯,68.894M,23.9M,92.794M,0.06889400000000001G,0.023899999999999998G,0.092794G
,121.51.224.89,121.51.224.89,腾讯,88.956M,3.46M,92.417M,0.08895600000000001G,0.00346G,0.092417G
,txvod.a.yximgs.com,182.254.52.122,腾讯,77.111M,14.925M,92.036M,0.077111G,0.014925G,0.092036G
,androidcn.fortuna.happyelements.cn,42.194.152.77,北京市北龙中网,3.252M,88.684M,91.936M,0.0032519999999999997G,0.088684G,0.091936G
,vgdt.gtimg.cn,182.254.48.72,腾讯,60.218M,30.602M,90.82M,0.060218G,0.030602G,0.09082G
,bg0.market.xiaomi.com,182.254.90.122,腾讯,52.136M,37.697M,89.833M,0.052136G,0.037697G,0.089833G
,10.2.217.77:80,121.51.128.187,腾讯,3.744M,85.38M,89.124M,0.0037440000000000004G,0.08538G,0.089124G
,image.tlbb.qq.com,182.254.48.242,腾讯,84.285M,4.703M,88.988M,0.084285G,0.004703000000000001G,0.088988G
,182.254.48.226,182.254.48.226,腾讯,17.226M,71.38M,88.606M,0.017225999999999998G,0.07138G,0.08860599999999999G
,adscdn.cedock.com,182.254.59.158,腾讯,58.951M,29.549M,88.5M,0.058951G,0.029549G,0.0885G
,oss.launcher.tcloudfamily.com,182.254.59.174,腾讯,62.036M,26.446M,88.482M,0.062036G,0.026446G,0.088482G
,download.windowsupdate.com,182.254.90.157,腾讯,51.671M,36.535M,88.206M,0.051671G,0.036535G,0.088206G
,kd01-1253445850.file.myqcloud.com,182.254.53.68,腾讯,47.039M,40.156M,87.195M,0.047039000000000004G,0.040156G,0.087195G
,182.254.60.94,182.254.60.94,腾讯,32.433M,54.35M,86.783M,0.032433G,0.05435G,0.086783G
,cl-dl.cc0808.com,193.112.235.49,其他国家,9.958M,76.498M,86.456M,0.009958G,0.07649800000000001G,0.086456G
,182.254.11.165,182.254.11.165,腾讯,40.079M,46.355M,86.434M,0.040079000000000004G,0.04635499999999999G,0.086434G
,muymov.a.yximgs.com,182.254.60.242,腾讯,59.169M,27.042M,86.211M,0.059169G,0.027042G,0.086211G
,182.254.48.78,182.254.48.78,腾讯,13.976M,72.002M,85.978M,0.013976G,0.072002G,0.085978G
,wzzs.huya.livelink.qq.com,121.51.61.25,腾讯,46.983M,38.967M,85.95M,0.046983G,0.038967G,0.08595G
,smsbook.bbk.com,182.254.60.116,腾讯,67.594M,18.04M,85.635M,0.06759399999999999G,0.01804G,0.085635G
,182.254.48.47,182.254.48.47,腾讯,15.719M,69.187M,84.906M,0.015719G,0.069187G,0.08490600000000001G
,182.254.90.176,182.254.90.176,腾讯,50.767M,34.044M,84.811M,0.050767G,0.034044G,0.08481100000000001G
,ntp.nc.gifshow.com,49.233.57.115,北京市教育信息网,29.173M,54.659M,83.832M,0.029172999999999998G,0.054659G,0.08383199999999999G
,s.dazzle90.com,182.254.59.158,腾讯,50.424M,32.987M,83.411M,0.050424G,0.032987G,0.083411G
,wcdn1.cgyouxi.com,121.51.224.96,腾讯,38.735M,44.279M,83.014M,0.038735G,0.044279000000000006G,0.08301399999999999G
,m.sogo.com,211.159.235.73,腾讯,41.1M,41.911M,83.011M,0.041100000000000005G,0.041911000000000004G,0.083011G
,worldwide.sogou.com,109.244.23.227,其他国家,19.78M,61.798M,81.578M,0.019780000000000002G,0.061798G,0.081578G
,sqimg.qq.com,182.254.48.38,腾讯,32.646M,48.617M,81.263M,0.032646G,0.048617G,0.081263G
,acc.qq.com,182.254.57.115,腾讯,18.356M,62.32M,80.676M,0.018356G,0.06232G,0.080676G
,182.254.60.169,182.254.60.169,腾讯,39.998M,40.597M,80.594M,0.039998G,0.040597G,0.080594G
,au.download.windowsupdate.com,121.51.82.83,腾讯,46.302M,32.238M,78.54M,0.046302G,0.032238G,0.07854000000000001G
,182.254.49.93,182.254.49.93,腾讯,74.464M,3.859M,78.322M,0.074464G,0.003859G,0.078322G
,wenmeixin.com,182.254.48.121,腾讯,57.225M,20.863M,78.088M,0.057225G,0.020863G,0.07808799999999999G
,pic.weishi.qq.com,182.254.76.17,腾讯,56.031M,21.765M,77.796M,0.056031G,0.021765G,0.077796G
,api3.gifshow.com,152.136.7.96,美国,15.056M,62.475M,77.532M,0.015056G,0.062475G,0.07753199999999999G
,t.yangkeduo.com,111.231.149.181,湖北省,1.633M,75.737M,77.37M,0.001633G,0.075737G,0.07737000000000001G
,mugc6.music.tc.qq.com,121.51.64.40,腾讯,32.394M,44.057M,76.45M,0.032394G,0.044057G,0.07645G
,down.game.qq.com,182.254.48.49,腾讯,40.917M,35.299M,76.216M,0.040917G,0.035299G,0.07621599999999999G
,tj.access.tars.tencent-cloud.net,182.254.58.147,腾讯,33.9M,41.833M,75.733M,0.0339G,0.041832999999999995G,0.07573300000000001G
,pcdownchuangcdn.titan.mgtv.com,182.254.90.225,腾讯,25.124M,50.083M,75.208M,0.025124G,0.050082999999999996G,0.075208G
,appimg.qq.com,182.254.49.85,腾讯,46.031M,29.175M,75.206M,0.046030999999999996G,0.029175G,0.07520600000000001G
,static2.ivwen.com,182.254.59.156,腾讯,50.545M,24.507M,75.052M,0.050545G,0.024507G,0.07505200000000001G
,121.51.42.244,121.51.42.244,腾讯,61.216M,13.794M,75.01M,0.061216G,0.013794G,0.07501000000000001G
,sh.access.tars.tencent-cloud.net,121.51.90.170,腾讯,33.632M,41.227M,74.859M,0.033631999999999995G,0.041227G,0.074859G
,132.232.66.85,132.232.66.85,其他国家,52.911M,21.763M,74.674M,0.052911G,0.021763G,0.074674G
,aevi.h-shops.com,182.254.52.122,腾讯,54.289M,19.67M,73.959M,0.054289000000000004G,0.01967G,0.073959G
,h.trace.qq.com,182.254.21.36,腾讯,26.45M,47.449M,73.899M,0.026449999999999998G,0.047449G,0.073899G
,yxgl.cdn.guangka.com,182.254.53.92,腾讯,52.062M,21.397M,73.459M,0.052062G,0.021397G,0.073459G
,182.254.90.165,182.254.90.165,腾讯,62.753M,10.65M,73.403M,0.062753G,0.01065G,0.07340300000000001G
,safe1.shouji.sogou.com,211.159.235.216,腾讯,2.181M,70.676M,72.857M,0.002181G,0.070676G,0.072857G
,viphuijiawang.com,182.254.52.97,腾讯,50.826M,21.801M,72.627M,0.050826G,0.021800999999999997G,0.072627G
,bfsg.binglai.net,182.254.48.245,腾讯,28.866M,43.457M,72.323M,0.028866G,0.043457G,0.072323G
,f2d.kgdryyx.cn,182.254.52.170,腾讯,49.203M,22.501M,71.704M,0.049203000000000004G,0.022501G,0.07170399999999999G
,sz.access.tars.tencent-cloud.net,121.51.191.144,腾讯,30.344M,41.139M,71.483M,0.030344000000000003G,0.041139G,0.071483G
,182.254.61.158,182.254.61.158,腾讯,70.544M,628.778K,71.173M,0.070544G,0.0006287780000000001G,0.071173G
,mayybnew.3g.qq.com:80,121.51.162.69,腾讯,2.631M,68.353M,70.984M,0.0026309999999999997G,0.068353G,0.07098399999999999G
,shkge-btfs.ftn.qq.com,121.51.56.118,腾讯,51.931M,18.376M,70.307M,0.051931G,0.018376G,0.07030700000000001G
,182.254.48.88,182.254.48.88,腾讯,14.695M,54.944M,69.639M,0.014695G,0.054944G,0.06963899999999999G
,v.kd.qq.com,182.254.60.32,腾讯,52.096M,17.437M,69.533M,0.052095999999999996G,0.017437G,0.069533G
,news.l.qq.com,121.51.67.147,腾讯,12.3M,57.02M,69.32M,0.0123G,0.05702G,0.06931999999999999G
,tclicon4.ifmis.huan.tv,154.8.189.46,其他国家,47.942M,19.386M,67.328M,0.047942G,0.019386G,0.067328G
,123.206.40.220,123.206.40.220,腾讯,17.081M,50.229M,67.31M,0.017081G,0.050228999999999996G,0.06731000000000001G
